"date","spots"
Jul 1789,117
Aug 1789,103
Sep 1789,112
Oct 1789,89.7
Nov 1789,134
Dec 1789,135.5
Jan 1790,103
Feb 1790,127.5
Mar 1790,96.3
Apr 1790,94
May 1790,93
Jun 1790,91
Jul 1790,69.3
Aug 1790,87
Sep 1790,77.3
Oct 1790,84.3
Nov 1790,82
Dec 1790,74
Jan 1791,72.7
Feb 1791,62
Mar 1791,74
Apr 1791,77.2
May 1791,73.7
Jun 1791,64.2
Jul 1791,71
Aug 1791,43
Sep 1791,66.5
Oct 1791,61.7
Nov 1791,67
Dec 1791,66
Jan 1792,58
Feb 1792,64
Mar 1792,63
Apr 1792,75.7
May 1792,62
Jun 1792,61
Jul 1792,45.8
Aug 1792,60
Sep 1792,59
Oct 1792,59
Nov 1792,57
Dec 1792,56
Jan 1793,56
Feb 1793,55
Mar 1793,55.5
Apr 1793,53
May 1793,52.3
Jun 1793,51
Jul 1793,50
Aug 1793,29.3
Sep 1793,24
Oct 1793,47
Nov 1793,44
Dec 1793,45.7
Jan 1794,45
Feb 1794,44
Mar 1794,38
Apr 1794,28.4
May 1794,55.7
Jun 1794,41.5
Jul 1794,41
Aug 1794,40
Sep 1794,11.1
Oct 1794,28.5
Nov 1794,67.4
Dec 1794,51.4
Jan 1795,21.4
Feb 1795,39.9
Mar 1795,12.6
Apr 1795,18.6
May 1795,31
Jun 1795,17.1
Jul 1795,12.9
Aug 1795,25.7
Sep 1795,13.5
Oct 1795,19.5
Nov 1795,25
Dec 1795,18
Jan 1796,22
Feb 1796,23.8
Mar 1796,15.7
Apr 1796,31.7
May 1796,21
Jun 1796,6.7
Jul 1796,26.9
Aug 1796,1.5
Sep 1796,18.4
Oct 1796,11
Nov 1796,8.4
Dec 1796,5.1
Jan 1797,14.4
Feb 1797,4.2
Mar 1797,4
Apr 1797,4
May 1797,7.3
Jun 1797,11.1
Jul 1797,4.3
Aug 1797,6
Sep 1797,5.7
Oct 1797,6.9
Nov 1797,5.8
Dec 1797,3
Jan 1798,2
Feb 1798,4
Mar 1798,12.4
Apr 1798,1.1
May 1798,0
Jun 1798,0
Jul 1798,0
Aug 1798,3
Sep 1798,2.4
Oct 1798,1.5
Nov 1798,12.5
Dec 1798,9.9
Jan 1799,1.6
Feb 1799,12.6
Mar 1799,21.7
Apr 1799,8.4
May 1799,8.2
Jun 1799,10.6
Jul 1799,2.1
Aug 1799,0
Sep 1799,0
Oct 1799,4.6
Nov 1799,2.7
Dec 1799,8.6
Jan 1800,6.9
Feb 1800,9.3
Mar 1800,13.9
Apr 1800,0
May 1800,5
Jun 1800,23.7
Jul 1800,21
Aug 1800,19.5
Sep 1800,11.5
Oct 1800,12.3
Nov 1800,10.5
Dec 1800,40.1
Jan 1801,27
Feb 1801,29
Mar 1801,30
Apr 1801,31
May 1801,32
Jun 1801,31.2
Jul 1801,35
Aug 1801,38.7
Sep 1801,33.5
Oct 1801,32.6
Nov 1801,39.8
Dec 1801,48.2
Jan 1802,47.8
Feb 1802,47
Mar 1802,40.8
Apr 1802,42
May 1802,44
Jun 1802,46
Jul 1802,48
Aug 1802,50
Sep 1802,51.8
Oct 1802,38.5
Nov 1802,34.5
Dec 1802,50
Jan 1803,50
Feb 1803,50.8
Mar 1803,29.5
Apr 1803,25
May 1803,44.3
Jun 1803,36
Jul 1803,48.3
Aug 1803,34.1
Sep 1803,45.3
Oct 1803,54.3
Nov 1803,51
Dec 1803,48
Jan 1804,45.3
Feb 1804,48.3
Mar 1804,48
Apr 1804,50.6
May 1804,33.4
Jun 1804,34.8
Jul 1804,29.8
Aug 1804,43.1
Sep 1804,53
Oct 1804,62.3
Nov 1804,61
Dec 1804,60
Jan 1805,61
Feb 1805,44.1
Mar 1805,51.4
Apr 1805,37.5
May 1805,39
Jun 1805,40.5
Jul 1805,37.6
Aug 1805,42.7
Sep 1805,44.4
Oct 1805,29.4
Nov 1805,41
Dec 1805,38.3
Jan 1806,39
Feb 1806,29.6
Mar 1806,32.7
Apr 1806,27.7
May 1806,26.4
Jun 1806,25.6
Jul 1806,30
Aug 1806,26.3
Sep 1806,24
Oct 1806,27
Nov 1806,25
Dec 1806,24
Jan 1807,12
Feb 1807,12.2
Mar 1807,9.6
Apr 1807,23.8
May 1807,10
Jun 1807,12
Jul 1807,12.7
Aug 1807,12
Sep 1807,5.7
Oct 1807,8
Nov 1807,2.6
Dec 1807,0
Jan 1808,0
Feb 1808,4.5
Mar 1808,0
Apr 1808,12.3
May 1808,13.5
Jun 1808,13.5
Jul 1808,6.7
Aug 1808,8
Sep 1808,11.7
Oct 1808,4.7
Nov 1808,10.5
Dec 1808,12.3
Jan 1809,7.2
Feb 1809,9.2
Mar 1809,0.9
Apr 1809,2.5
May 1809,2
Jun 1809,7.7
Jul 1809,0.3
Aug 1809,0.2
Sep 1809,0.4
Oct 1809,0
Nov 1809,0
Dec 1809,0
Jan 1810,0
Feb 1810,0
Mar 1810,0
Apr 1810,0
May 1810,0
Jun 1810,0
Jul 1810,0
Aug 1810,0
Sep 1810,0
Oct 1810,0
Nov 1810,0
Dec 1810,0
Jan 1811,0
Feb 1811,0
Mar 1811,0
Apr 1811,0
May 1811,0
Jun 1811,0
Jul 1811,6.6
Aug 1811,0
Sep 1811,2.4
Oct 1811,6.1
Nov 1811,0.8
Dec 1811,1.1
Jan 1812,11.3
Feb 1812,1.9
Mar 1812,0.7
Apr 1812,0
May 1812,1
Jun 1812,1.3
Jul 1812,0.5
Aug 1812,15.6
Sep 1812,5.2
Oct 1812,3.9
Nov 1812,7.9
Dec 1812,10.1
Jan 1813,0
Feb 1813,10.3
Mar 1813,1.9
Apr 1813,16.6
May 1813,5.5
Jun 1813,11.2
Jul 1813,18.3
Aug 1813,8.4
Sep 1813,15.3
Oct 1813,27.8
Nov 1813,16.7
Dec 1813,14.3
Jan 1814,22.2
Feb 1814,12
Mar 1814,5.7
Apr 1814,23.8
May 1814,5.8
Jun 1814,14.9
Jul 1814,18.5
Aug 1814,2.3
Sep 1814,8.1
Oct 1814,19.3
Nov 1814,14.5
Dec 1814,20.1
Jan 1815,19.2
Feb 1815,32.2
Mar 1815,26.2
Apr 1815,31.6
May 1815,9.8
Jun 1815,55.9
Jul 1815,35.5
Aug 1815,47.2
Sep 1815,31.5
Oct 1815,33.5
Nov 1815,37.2
Dec 1815,65
Jan 1816,26.3
Feb 1816,68.8
Mar 1816,73.7
Apr 1816,58.8
May 1816,44.3
Jun 1816,43.6
Jul 1816,38.8
Aug 1816,23.2
Sep 1816,47.8
Oct 1816,56.4
Nov 1816,38.1
Dec 1816,29.9
Jan 1817,36.4
Feb 1817,57.9
Mar 1817,96.2
Apr 1817,26.4
May 1817,21.2
Jun 1817,40
Jul 1817,50
Aug 1817,45
Sep 1817,36.7
Oct 1817,25.6
Nov 1817,28.9
Dec 1817,28.4
Jan 1818,34.9
Feb 1818,22.4
Mar 1818,25.4
Apr 1818,34.5
May 1818,53.1
Jun 1818,36.4
Jul 1818,28
Aug 1818,31.5
Sep 1818,26.1
Oct 1818,31.6
Nov 1818,10.9
Dec 1818,25.8
Jan 1819,32.8
Feb 1819,20.7
Mar 1819,3.7
Apr 1819,20.2
May 1819,19.6
Jun 1819,35
Jul 1819,31.4
Aug 1819,26.1
Sep 1819,14.9
Oct 1819,27.5
Nov 1819,25.1
Dec 1819,30.6
Jan 1820,19.2
Feb 1820,26.6
Mar 1820,4.5
Apr 1820,19.4
May 1820,29.3
Jun 1820,10.8
Jul 1820,20.6
Aug 1820,25.9
Sep 1820,5.2
Oct 1820,8.9
Nov 1820,7.9
Dec 1820,9.1
Jan 1821,21.5
Feb 1821,4.2
Mar 1821,5.7
Apr 1821,9.2
May 1821,1.7
Jun 1821,1.8
Jul 1821,2.5
Aug 1821,4.8
Sep 1821,4.4
Oct 1821,18.8
Nov 1821,4.4
Dec 1821,0.2
Jan 1822,0
Feb 1822,0.9
Mar 1822,16.1
Apr 1822,13.5
May 1822,1.5
Jun 1822,5.6
Jul 1822,7.9
Aug 1822,2.1
Sep 1822,0
Oct 1822,0.4
Nov 1822,0
Dec 1822,0
Jan 1823,0
Feb 1823,0
Mar 1823,0.6
Apr 1823,0
May 1823,0
Jun 1823,0
Jul 1823,0.5
Aug 1823,0
Sep 1823,0
Oct 1823,0
Nov 1823,0
Dec 1823,20.4
Jan 1824,21.7
Feb 1824,10.8
Mar 1824,0
Apr 1824,19.4
May 1824,2.8
Jun 1824,0
Jul 1824,0
Aug 1824,1.4
Sep 1824,20.5
Oct 1824,25.2
Nov 1824,0
Dec 1824,0.8
Jan 1825,5
Feb 1825,15.5
Mar 1825,22.4
Apr 1825,3.8
May 1825,15.5
Jun 1825,15.4
Jul 1825,30.9
Aug 1825,25.7
Sep 1825,15.7
Oct 1825,15.6
Nov 1825,11.7
Dec 1825,22
Jan 1826,17.7
Feb 1826,18.2
Mar 1826,36.7
Apr 1826,24
May 1826,32.4
Jun 1826,37.1
Jul 1826,52.5
Aug 1826,39.6
Sep 1826,18.9
Oct 1826,50.6
Nov 1826,39.5
Dec 1826,68.1
Jan 1827,34.6
Feb 1827,47.4
Mar 1827,57.8
Apr 1827,46
May 1827,56.3
Jun 1827,56.7
Jul 1827,42.3
Aug 1827,53.7
Sep 1827,49.6
Oct 1827,56.1
Nov 1827,48.2
Dec 1827,46.1
Jan 1828,52.8
Feb 1828,64.4
Mar 1828,65
Apr 1828,61.1
May 1828,89.1
Jun 1828,98
Jul 1828,54.2
Aug 1828,76.4
Sep 1828,50.4
Oct 1828,54.7
Nov 1828,57
Dec 1828,46.9
Jan 1829,43
Feb 1829,49.4
Mar 1829,72.3
Apr 1829,95
May 1829,67.4
Jun 1829,73.9
Jul 1829,90.8
Aug 1829,77.6
Sep 1829,52.8
Oct 1829,57.2
Nov 1829,67.6
Dec 1829,56.5
Jan 1830,52.2
Feb 1830,72.1
Mar 1830,84.6
Apr 1830,106.3
May 1830,66.3
Jun 1830,65.1
Jul 1830,43.9
Aug 1830,50.7
Sep 1830,62.1
Oct 1830,84.4
Nov 1830,81.2
Dec 1830,82.1
Jan 1831,47.5
Feb 1831,50.1
Mar 1831,93.4
Apr 1831,54.5
May 1831,38.1
Jun 1831,33.4
Jul 1831,45.2
Aug 1831,55
Sep 1831,37.9
Oct 1831,46.3
Nov 1831,43.5
Dec 1831,28.9
Jan 1832,30.9
Feb 1832,55.6
Mar 1832,55.1
Apr 1832,26.9
May 1832,41.3
Jun 1832,26.7
Jul 1832,14
Aug 1832,8.9
Sep 1832,8.2
Oct 1832,21.1
Nov 1832,14.3
Dec 1832,27.5
Jan 1833,11.3
Feb 1833,14.9
Mar 1833,11.8
Apr 1833,2.8
May 1833,12.9
Jun 1833,1
Jul 1833,7
Aug 1833,5.7
Sep 1833,11.6
Oct 1833,7.5
Nov 1833,5.9
Dec 1833,9.9
Jan 1834,4.9
Feb 1834,18.1
Mar 1834,3.9
Apr 1834,1.4
May 1834,8.8
Jun 1834,7.8
Jul 1834,8.7
Aug 1834,4
Sep 1834,11.5
Oct 1834,24.8
Nov 1834,30.5
Dec 1834,34.5
Jan 1835,7.5
Feb 1835,24.5
Mar 1835,19.7
Apr 1835,61.5
May 1835,43.6
Jun 1835,33.2
Jul 1835,59.8
Aug 1835,59
Sep 1835,100.8
Oct 1835,95.2
Nov 1835,100
Dec 1835,77.5
Jan 1836,88.6
Feb 1836,107.6
Mar 1836,98.2
Apr 1836,142.9
May 1836,111.4
Jun 1836,124.7
Jul 1836,116.7
Aug 1836,107.8
Sep 1836,95.1
Oct 1836,137.4
Nov 1836,120.9
Dec 1836,206.2
Jan 1837,188
Feb 1837,175.6
Mar 1837,134.6
Apr 1837,138.2
May 1837,111.7
Jun 1837,158
Jul 1837,162.8
Aug 1837,134
Sep 1837,96.3
Oct 1837,123.7
Nov 1837,107
Dec 1837,129.8
Jan 1838,144.9
Feb 1838,84.8
Mar 1838,140.8
Apr 1838,126.6
May 1838,137.6
Jun 1838,94.5
Jul 1838,108.2
Aug 1838,78.8
Sep 1838,73.6
Oct 1838,90.8
Nov 1838,77.4
Dec 1838,79.8
Jan 1839,105.6
Feb 1839,102.5
Mar 1839,77.7
Apr 1839,61.8
May 1839,53.8
Jun 1839,54.6
Jul 1839,84.8
Aug 1839,131.2
Sep 1839,132.7
Oct 1839,90.9
Nov 1839,68.8
Dec 1839,63.7
Jan 1840,81.2
Feb 1840,87.7
Mar 1840,67.8
Apr 1840,65.9
May 1840,69.2
Jun 1840,48.5
Jul 1840,60.7
Aug 1840,57.8
Sep 1840,74
Oct 1840,55
Nov 1840,54.3
Dec 1840,53.7
Jan 1841,24.1
Feb 1841,29.9
Mar 1841,29.7
Apr 1841,40.2
May 1841,67.5
Jun 1841,55.7
Jul 1841,30.8
Aug 1841,39.3
Sep 1841,36.5
Oct 1841,28.5
Nov 1841,19.8
Dec 1841,38.8
Jan 1842,20.4
Feb 1842,22.1
Mar 1842,21.7
Apr 1842,26.9
May 1842,24.9
Jun 1842,20.5
Jul 1842,12.6
Aug 1842,26.6
Sep 1842,18.4
Oct 1842,38.1
Nov 1842,40.5
Dec 1842,17.6
Jan 1843,13.3
Feb 1843,3.5
Mar 1843,8.3
Apr 1843,9.5
May 1843,21.1
Jun 1843,10.5
Jul 1843,9.5
Aug 1843,11.8
Sep 1843,4.2
Oct 1843,5.3
Nov 1843,19.1
Dec 1843,12.7
Jan 1844,9.4
Feb 1844,14.7
Mar 1844,13.6
Apr 1844,20.8
May 1844,11.6
Jun 1844,3.7
Jul 1844,21.2
Aug 1844,23.9
Sep 1844,7
Oct 1844,21.5
Nov 1844,10.7
Dec 1844,21.6
Jan 1845,25.7
Feb 1845,43.6
Mar 1845,43.3
Apr 1845,57
May 1845,47.8
Jun 1845,31.1
Jul 1845,30.6
Aug 1845,32.3
Sep 1845,29.6
Oct 1845,40.7
Nov 1845,39.4
Dec 1845,59.7
Jan 1846,38.7
Feb 1846,51
Mar 1846,63.9
Apr 1846,69.3
May 1846,59.9
Jun 1846,65.1
Jul 1846,46.5
Aug 1846,54.8
Sep 1846,107.1
Oct 1846,55.9
Nov 1846,60.4
Dec 1846,65.5
Jan 1847,62.6
Feb 1847,44.9
Mar 1847,85.7
Apr 1847,44.7
May 1847,75.4
Jun 1847,85.3
Jul 1847,52.2
Aug 1847,140.6
Sep 1847,160.9
Oct 1847,180.4
Nov 1847,138.9
Dec 1847,109.6
Jan 1848,159.1
Feb 1848,111.8
Mar 1848,108.6
Apr 1848,107.1
May 1848,102.2
Jun 1848,129
Jul 1848,139.2
Aug 1848,132.6
Sep 1848,100.3
Oct 1848,132.4
Nov 1848,114.6
Dec 1848,159.5
Jan 1849,157
Feb 1849,131.8
Mar 1849,96.2
Apr 1849,102.5
May 1849,80.6
Jun 1849,81.1
Jul 1849,78
Aug 1849,67.7
Sep 1849,93.7
Oct 1849,71.5
Nov 1849,99
Dec 1849,97
Jan 1850,78
Feb 1850,89.4
Mar 1850,82.6
Apr 1850,44.1
May 1850,61.6
Jun 1850,70
Jul 1850,39.1
Aug 1850,61.6
Sep 1850,86.2
Oct 1850,71
Nov 1850,54.8
Dec 1850,61
Jan 1851,75.5
Feb 1851,105.4
Mar 1851,64.6
Apr 1851,56.5
May 1851,62.6
Jun 1851,63.2
Jul 1851,36.1
Aug 1851,57.4
Sep 1851,67.9
Oct 1851,62.5
Nov 1851,51
Dec 1851,71.4
Jan 1852,68.4
Feb 1852,66.4
Mar 1852,61.2
Apr 1852,65.4
May 1852,54.9
Jun 1852,46.9
Jul 1852,42.1
Aug 1852,39.7
Sep 1852,37.5
Oct 1852,67.3
Nov 1852,54.3
Dec 1852,45.4
Jan 1853,41.1
Feb 1853,42.9
Mar 1853,37.7
Apr 1853,47.6
May 1853,34.7
Jun 1853,40
Jul 1853,45.9
Aug 1853,50.5
Sep 1853,33.5
Oct 1853,42.4
Nov 1853,28.8
Dec 1853,23.4
Jan 1854,15.4
Feb 1854,20
Mar 1854,20.7
Apr 1854,26.5
May 1854,24
Jun 1854,21.1
Jul 1854,18.7
Aug 1854,15.8
Sep 1854,22.4
Oct 1854,12.6
Nov 1854,28.2
Dec 1854,21.6
Jan 1855,12.3
Feb 1855,11.4
Mar 1855,17.4
Apr 1855,4.4
May 1855,9.1
Jun 1855,5.3
Jul 1855,0.4
Aug 1855,3.1
Sep 1855,0
Oct 1855,9.6
Nov 1855,4.2
Dec 1855,3.1
Jan 1856,0.5
Feb 1856,4.9
Mar 1856,0.4
Apr 1856,6.5
May 1856,0
Jun 1856,5.2
Jul 1856,4.6
Aug 1856,5.9
Sep 1856,4.4
Oct 1856,4.5
Nov 1856,7.7
Dec 1856,7.2
Jan 1857,13.7
Feb 1857,7.4
Mar 1857,5.2
Apr 1857,11.1
May 1857,28.5
Jun 1857,16
Jul 1857,22.2
Aug 1857,16.9
Sep 1857,42.4
Oct 1857,40.6
Nov 1857,31.4
Dec 1857,37.2
Jan 1858,39
Feb 1858,34.9
Mar 1858,57.5
Apr 1858,38.3
May 1858,41.4
Jun 1858,44.5
Jul 1858,56.7
Aug 1858,55.3
Sep 1858,80.1
Oct 1858,91.2
Nov 1858,51.9
Dec 1858,66.9
Jan 1859,83.7
Feb 1859,87.6
Mar 1859,90.3
Apr 1859,85.7
May 1859,91
Jun 1859,87.1
Jul 1859,95.2
Aug 1859,106.8
Sep 1859,105.8
Oct 1859,114.6
Nov 1859,97.2
Dec 1859,81
Jan 1860,82.4
Feb 1860,88.3
Mar 1860,98.9
Apr 1860,71.4
May 1860,107.1
Jun 1860,108.6
Jul 1860,116.7
Aug 1860,100.3
Sep 1860,92.2
Oct 1860,90.1
Nov 1860,97.9
Dec 1860,95.6
Jan 1861,62.3
Feb 1861,77.7
Mar 1861,101
Apr 1861,98.5
May 1861,56.8
Jun 1861,88.1
Jul 1861,78
Aug 1861,82.5
Sep 1861,79.9
Oct 1861,67.2
Nov 1861,53.7
Dec 1861,80.5
Jan 1862,63.1
